lago,lago_id,fecha,satelite,nubosidad_pct,nota,cyano_promedio_mg_m3,cyano_mediana_mg_m3,cyano_p95_mg_m3,ndvi_promedio_agua,ndwi_promedio_agua,pixeles_agua_validos,area_agua_valida_km2
Amatitlán,amatitlan,2025-01-28,Sentinel-2B,0.06,,4.430415153503418,4.486308574676514,4.80363130569458,-0.22246672213077545,0.4594305455684662,36693,14.677200000000001
Amatitlán,amatitlan,2025-04-15,Sentinel-2A,0.09,,4.529202938079834,4.607883930206299,6.433542251586914,-0.10246854275465012,0.292759507894516,36320,14.528
Amatitlán,amatitlan,2025-04-28,Sentinel-2B,1.03,,5.723478317260742,4.892271041870117,11.11368465423584,-0.07927564531564713,0.2900938093662262,36312,14.5248
Amatitlán,amatitlan,2025-11-24,Sentinel-2B,0.5,,4.672593116760254,4.0074238777160645,6.212803363800049,-0.21137697994709015,0.43111082911491394,36438,14.5752
Amatitlán,amatitlan,2026-01-08,Sentinel-2C,0.77,,6.649543762207031,4.890136241912842,13.132712364196777,-0.10278304666280746,0.35436540842056274,36677,14.6708
Amatitlán,amatitlan,2026-02-02,Sentinel-2B,0.39,,4.292301654815674,4.4069743156433105,4.749570846557617,-0.10519512742757797,0.2917609214782715,36036,14.4144
Amatitlán,amatitlan,2026-02-07,Sentinel-2C,0.02,Cobertura válida parcial (~57.1%).,4.305925369262695,4.45522403717041,4.78026819229126,-0.14582888782024384,0.36297252774238586,36598,14.6392
Amatitlán,amatitlan,2026-03-29,Sentinel-2C,0.01,,6.412986755371094,5.233790874481201,15.367827415466309,-0.0966360867023468,0.3173331916332245,36734,14.6936
Amatitlán,amatitlan,2026-04-13,Sentinel-2B,0.09,,6.697448253631592,6.395038604736328,9.607658386230469,-0.06492824107408524,0.2956760823726654,36895,14.758000000000001
Amatitlán,amatitlan,2026-04-28,Sentinel-2C,4.96,,9.87281322479248,6.363312721252441,26.00640106201172,0.02133769728243351,0.22848398983478546,35009,14.0036
Amatitlán,amatitlan,2026-06-19,Sentinel-2A,13.0,,11.411654472351074,10.645397186279297,21.984649658203125,-0.041995879262685776,0.35143840312957764,36716,14.6864
Atitlán,atitlan,2025-01-18,Sentinel-2B,0.02,,0.6325682997703552,0.36652374267578125,1.9925215244293213,-0.26969918608665466,0.56175297498703,308477,123.39080000000001
Atitlán,atitlan,2025-04-13,Sentinel-2C,0.54,,1.7912724018096924,1.7524187564849854,2.8375325202941895,-0.17464125156402588,0.43156352639198303,305355,122.14200000000001
Atitlán,atitlan,2025-05-13,Sentinel-2C,4.37,,1.3401342630386353,1.3075883388519287,2.7956395149230957,-0.18135280907154083,0.4335027039051056,305312,122.12480000000001
Atitlán,atitlan,2025-07-17,Sentinel-2A,3.57,,1.252627968788147,1.2091364860534668,2.7951178550720215,-0.17921830713748932,0.45637011528015137,298564,119.4256
Atitlán,atitlan,2025-11-21,Sentinel-2A,3.15,,0.5794800519943237,0.2947366237640381,1.9136238098144531,-0.26624947786331177,0.5622608065605164,305684,122.2736
Atitlán,atitlan,2025-12-29,Sentinel-2C,3.17,,0.7093518972396851,0.5060038566589355,2.125697612762451,-0.2335745394229889,0.5093667507171631,309314,123.7256
Atitlán,atitlan,2026-02-12,Sentinel-2B,0.04,,0.9703189730644226,0.9147839546203613,2.1512954235076904,-0.25008147954940796,0.5210788249969482,306109,122.4436
Atitlán,atitlan,2026-03-24,Sentinel-2B,3.17,,1.2867714166641235,1.2596535682678223,2.423632860183716,-0.22773012518882751,0.4800663888454437,305460,122.18400000000001
Atitlán,atitlan,2026-04-13,Sentinel-2B,0.01,,2.157820463180542,2.2226614952087402,3.326988935470581,-0.16019003093242645,0.38398534059524536,304637,121.85480000000001
Atitlán,atitlan,2026-04-28,Sentinel-2C,4.96,,1.8705484867095947,1.9056129455566406,3.108832836151123,-0.16800037026405334,0.3948688507080078,304656,121.86240000000001
Atitlán,atitlan,2026-07-22,Sentinel-2B,4.02,,1.251145362854004,1.150935173034668,2.8258659839630127,-0.18952299654483795,0.4653228223323822,304067,121.6268
